iter	Passed	Remaining
472	688	767
473	689	765
474	690	763
475	691	761
476	693	760
477	695	759
478	696	757
479	697	755
480	698	753
481	699	752
482	700	750
483	701	748
484	703	746
485	704	744
486	705	743
487	706	741
488	707	739
489	709	738
490	710	736
491	711	734
492	712	732
493	713	731
494	714	729
495	715	727
496	717	725
497	718	723
498	719	722
499	720	720
500	721	718
501	722	716
502	723	715
503	725	713
504	726	711
505	727	710
506	728	708
507	729	706
508	730	704
509	731	702
510	732	701
511	733	699
512	735	697
513	736	696
514	737	694
515	738	692
516	739	691
517	741	689
518	742	688
519	743	686
520	744	684
521	745	682
522	746	680
523	747	679
524	749	677
525	750	676
526	752	675
527	753	673
528	755	672
529	756	670
530	757	669
531	759	667
532	760	666
533	761	664
534	762	662
535	763	661
536	764	659
537	765	657
538	767	656
539	768	654
540	769	653
541	770	651
542	771	649
543	772	647
544	774	646
545	775	644
546	776	642
547	777	641
548	778	639
549	779	637
550	780	636
551	781	634
552	783	632
553	784	631
554	785	630
555	786	628
556	787	626
557	789	625
558	790	623
559	791	621
560	792	620
561	793	618
562	794	616
563	795	615
564	796	613
565	798	611
566	799	610
567	801	609
568	802	607
569	803	605
570	804	604
571	805	602
572	806	601
573	807	599
574	808	597
575	809	596
576	811	594
577	812	593
578	813	591
579	815	590
580	816	588
581	817	587
582	818	585
583	819	583
584	820	582
585	821	580
586	822	578
587	823	577
588	824	575
589	826	574
590	827	572
591	828	571
592	830	569
593	831	568
594	832	566
595	833	564
596	834	563
597	835	561
598	836	560
599	837	558
600	838	556
601	839	555
602	840	553
603	841	552
604	843	550
605	844	549
606	845	547
607	846	546
608	848	544
609	849	542
610	850	541
611	851	539
612	852	538
613	853	536
614	854	535
615	855	533
616	856	531
617	857	530
618	859	528
619	860	527
620	861	525
621	862	524
622	863	522
623	864	521
624	865	519
625	866	517
626	868	516
627	869	514
628	870	513
629	871	511
630	872	510
631	873	508
632	875	507
633	876	505
634	877	504
635	878	502
636	879	501
637	880	499
638	881	498
639	882	496
640	884	495
641	885	493
642	886	492
643	887	490
644	888	489
645	890	487
646	891	486
647	892	484
648	893	483
649	894	481
650	895	480
651	896	478
652	897	477
653	898	475
654	899	473
655	900	472
656	901	470
657	903	469
658	904	468
659	905	466
660	906	465
661	907	463
662	908	461
663	910	460
664	911	459
665	912	457
666	913	456
667	914	454
668	915	453
669	916	451
670	917	450
671	919	448
672	920	447
673	921	445
674	922	444
675	923	442
676	925	441
677	926	439
678	927	438
679	928	436
680	929	435
681	930	433
682	931	432
683	932	430
684	933	429
685	935	428
686	936	426
687	937	425
688	938	423
689	939	422
690	941	420
691	942	419
692	943	417
693	944	416
694	946	415
695	947	413
696	949	412
697	950	411
698	951	409
699	952	408
700	954	406
701	955	405
702	956	404
703	957	402
704	958	401
705	960	399
706	961	398
707	962	397
708	963	395
709	965	394
710	966	392
711	967	391
712	969	390
713	970	388
714	972	387
715	973	386
716	974	384
717	975	383
718	976	381
719	978	380
720	979	379
721	981	377
722	982	376
723	983	374
724	984	373
725	985	372
726	986	370
727	987	369
728	988	367
729	990	366
730	991	364
731	992	363
732	993	361
733	994	360
734	996	359
735	998	357
736	999	356
737	1000	355
738	1002	354
739	1003	352
740	1004	351
741	1005	349
742	1007	348
743	1009	347
744	1010	346
745	1012	344
746	1013	343
747	1014	341
748	1015	340
749	1016	338
750	1018	337
751	1019	336
752	1020	334
753	1022	333
754	1023	332
755	1024	330
756	1026	329
757	1027	328
758	1028	326
759	1029	325
760	1031	323
761	1032	322
762	1033	321
763	1035	319
764	1036	318
765	1037	317
766	1039	315
767	1040	314
768	1041	312
769	1043	311
770	1044	310
771	1045	308
772	1047	307
773	1048	306
774	1049	304
775	1050	303
776	1052	301
777	1053	300
778	1055	299
779	1056	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	291
785	1064	289
786	1065	288
787	1066	286
788	1067	285
789	1068	284
790	1070	282
791	1071	281
792	1072	279
793	1073	278
794	1074	277
795	1075	275
796	1076	274
797	1077	272
798	1079	271
799	1080	270
800	1081	268
801	1083	267
802	1084	266
803	1085	264
804	1086	263
805	1087	261
806	1088	260
807	1089	259
808	1091	257
809	1092	256
810	1093	254
811	1094	253
812	1095	251
813	1096	250
814	1097	249
815	1099	247
816	1100	246
817	1101	245
818	1102	243
819	1103	242
820	1104	240
821	1106	239
822	1107	238
823	1108	236
824	1109	235
825	1110	233
826	1111	232
827	1113	231
828	1114	229
829	1115	228
830	1116	227
831	1117	225
832	1118	224
833	1120	222
834	1121	221
835	1122	220
836	1123	218
837	1124	217
838	1125	215
839	1126	214
840	1127	213
841	1128	211
842	1130	210
843	1131	209
844	1132	207
845	1133	206
846	1134	204
847	1135	203
848	1136	202
849	1138	200
850	1139	199
851	1140	198
852	1141	196
853	1142	195
854	1143	193
855	1144	192
856	1145	191
857	1147	189
858	1148	188
859	1149	187
860	1150	185
861	1151	184
862	1152	182
863	1153	181
864	1154	180
865	1155	178
866	1156	177
867	1157	176
868	1159	174
869	1160	173
870	1161	172
